2021/08/19 01:49:52 [INFO] CurrentEpoch: 38, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 144, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 39, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 22, NumberOfBads: 146, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 40, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 12, NumberOfBads: 157, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 41, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 16, NumberOfBads: 148, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 42, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 25, NumberOfBads: 126, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 43, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 26, NumberOfBads: 127, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 44, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 127, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 45, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 26, NumberOfBads: 145, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 46, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 144, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 47, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 30, NumberOfBads: 148, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 48, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 157, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 49, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 18, NumberOfBads: 153, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 50, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 17, NumberOfBads: 146, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 51, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 16, NumberOfBads: 157, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 52, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 152, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 53, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 24, NumberOfBads: 134, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 54, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 28, NumberOfBads: 146, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 55, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 23, NumberOfBads: 145, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 56, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 21, NumberOfBads: 135, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 57, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 24, NumberOfBads: 142, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 58, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 21, NumberOfBads: 144, Level: easy
2021/08/19 01:49:52 [INFO] CurrentEpoch: 59, FinalEpochs: 100, NumberOfFoodSources: 100, NumberOfGoods: 25, NumberOfBads: 151, Level: easy
